file,y_tc_mean,ntc_mean,A_rms,B_rms,C_rms,D_rms,U_A,U_B,U_C,U_D,R_AB,R_AC,R_AD,R_BC,R_BD,R_CD
J1-T85-I1 Tp 4_Processed.unv,88.2395757039388,29.337341928791737,2.690282106399536,2.6663047075271606,2.677664995193481,2.742677688598633,0.08996281211009194,0.0981115148306908,0.0804330599197689,0.11865260228470165,0.916944481647634,1.11848053772701,0.7582034475251556,1.2197909034985859,0.8268804302772609,0.6778870279370135
J1-T85-I2 Tp 4_Processed.unv,88.22915903727214,45.89301347660363,2.583765983581543,2.9409070014953613,2.8050588369369507,3.0630671977996826,-0.016553310707901225,0.3727138087988915,0.20782690166323858,0.43904211148575145,-0.0444129257277748,-0.0796495091608694,-0.03770324138585153,1.7933857735262522,0.8489249642536566,0.4733643908552115
J1-T85-I3 Tp 4_Processed.unv,88.21874237060547,55.0128939133253,2.371758460998535,2.6074835062026978,2.592601537704468,2.627603530883789,-0.22856083329090904,0.039290313506227914,-0.004630397569243883,0.003578444569857897,-5.817231090677854,49.360952245021096,-63.87155894941957,-8.485300218539074,10.979718349469408,-1.2939693430623014
J1-T90-I1 Tp 4_Processed.unv,90.55728403727214,36.69901276156332,2.562844157218933,2.987845540046692,2.7894541025161743,2.8669705390930176,-0.03747513707051109,0.41965234735022205,0.19222216724246222,0.2429454527790864,-0.08930043476972645,-0.19495741624451296,-0.1542532969513438,2.183163125098301,1.7273521383082548,0.791215332674913
J1-T90-I2 Tp 4_Processed.unv,90.68228403727214,52.61677755686191,2.582213044166565,3.0831477642059326,2.8464330434799194,3.3506076335906982,-0.018106250122879253,0.5149545715094628,0.24920110820620733,0.7265825472767671,-0.035160868792377606,-0.07265718139542465,-0.02491974269233622,2.0664216753135443,0.708735123682111,0.34297700810487897
J1-T90-I3 Tp 4_Processed.unv,90.81249237060548,59.99923656468653,2.7813388109207158,2.835809111595154,2.796538829803467,2.528232216835022,0.18101951663127158,0.26761591889868397,0.1993068945297547,-0.09579286947890919,0.676415354423678,0.9082451315011936,-1.8896971937052875,1.3427328719866807,-2.7936935218085854,-2.0806026128451687
J1-T95-I1 Tp 4_Processed.unv,98.43228403727214,84.88958536264772,2.5476073026657104,2.547190308570862,2.545927762985229,2.5584906339645386,-0.052711991623733745,-0.021002884125608023,-0.05130417228848305,-0.06553445234939259,2.509750151859573,1.0274406402530876,0.8043401559641218,0.40937965059662074,0.3204861469450075,0.7828580303831374
J1-T95-I2 Tp 4_Processed.unv,98.5833257039388,54.92729797653868,2.93473756313324,3.204776406288147,2.9270395040512085,3.363949775695801,0.334418268843796,0.6365832135916771,0.3298075687774964,0.7399246893818696,0.5253331563001307,1.0139799704518309,0.4519625762497097,1.9301655688233945,0.8603351431933923,0.4457312663171389
J1-T95-I3 Tp 4_Processed.unv,98.57290903727214,62.48389269477997,2.5687800645828247,3.428557276725769,2.6375221014022827,2.676756501197815,-0.03153922970661949,0.8603640840292992,0.040290166128570615,0.052731414883883776,-0.036658003619715766,-0.7828021757461642,-0.5981108183057454,21.354195494845495,16.31596811737079,0.7640638169351386
J2-T100-I1 Tp 4_Processed.unv,100.78124237060548,30.92999025152335,2.556961297988892,2.5406094789505005,2.562543749809265,2.6221190690994263,-0.04335799630055215,-0.02758371374596935,-0.03468818546444696,-0.001906017214504896,1.571869426280129,1.249935553561634,22.74795629892291,0.7951904481784089,14.471912182143882,18.199303343363304
